task_id,model,strategy,budget_tok,p1,is_correct,n_candidates,n_candidates_algo
scikit-learn__scikit-learn-14710,gemma4:26b,fifo,1000,0,True,50,50
scikit-learn__scikit-learn-14710,gemma4:26b,fifo,2000,0,True,50,50
scikit-learn__scikit-learn-14710,gemma4:26b,fifo,4000,0,True,50,50
scikit-learn__scikit-learn-14710,gemma4:26b,fifo,8000,0,True,50,50
scikit-learn__scikit-learn-14710,gemma4:26b,priority_kw,1000,0,True,50,50
scikit-learn__scikit-learn-14710,gemma4:26b,priority_kw,2000,0,True,50,50
scikit-learn__scikit-learn-14710,gemma4:26b,priority_kw,4000,0,True,50,50
scikit-learn__scikit-learn-14710,gemma4:26b,priority_kw,8000,0,True,50,50
django__django-15629,gemma4:26b,fifo,1000,0,False,50,50
django__django-15629,gemma4:26b,fifo,2000,0,False,50,50
django__django-15629,gemma4:26b,fifo,4000,0,False,50,50
django__django-15629,gemma4:26b,fifo,8000,0,False,50,50
django__django-15629,gemma4:26b,priority_kw,1000,0,True,50,50
django__django-15629,gemma4:26b,priority_kw,2000,0,True,50,50
django__django-15629,gemma4:26b,priority_kw,4000,0,True,50,50
django__django-15629,gemma4:26b,priority_kw,8000,0,True,50,50
django__django-14855,gemma4:26b,fifo,1000,1,True,1,1
django__django-14855,gemma4:26b,fifo,2000,1,True,1,1
django__django-14855,gemma4:26b,fifo,4000,1,True,1,1
django__django-14855,gemma4:26b,fifo,8000,1,True,1,1
django__django-14855,gemma4:26b,priority_kw,1000,1,True,1,1
django__django-14855,gemma4:26b,priority_kw,2000,1,True,1,1
django__django-14855,gemma4:26b,priority_kw,4000,1,True,1,1
django__django-14855,gemma4:26b,priority_kw,8000,1,True,1,1
sphinx-doc__sphinx-9698,gemma4:26b,fifo,1000,0,True,50,50
sphinx-doc__sphinx-9698,gemma4:26b,fifo,2000,0,True,50,50
sphinx-doc__sphinx-9698,gemma4:26b,fifo,4000,0,True,50,50
sphinx-doc__sphinx-9698,gemma4:26b,fifo,8000,0,True,50,50
sphinx-doc__sphinx-9698,gemma4:26b,priority_kw,1000,0,True,50,50
